line_no,doi,compound,entity,title,year,authors,existing_sources
127,10.1038/s41380-024-02830-z,,,Effects of psychoplastogens on blood levels of brain-derived neurotrophic factor (BDNF) in humans: a systematic review and meta-analysis.,2025,Calder AE; Hase A; Hasler G,candidate_paper_corpus | disorder:paper_library
129,10.1007/s11916-025-01437-5,,,Efficacy of Ketamine Infusion for Treatment of Opioid Use Disorder in Patients with Chronic Pain: a Narrative Review.,2025,Kaye AD; Wolf MC; Dufour SI; Haynes AT; Potharaju P; Shekoohi S; Ahmadzadeh S,candidate_paper_corpus | disorder:paper_library | disorder:stubs
130,10.1038/s41557-024-01714-7,,,Efficient and modular synthesis of ibogaine and related alkaloids.,2025,Iyer RN; Favela D; Domokos A; Zhang G; Avanes AA; Carter SJ; Basargin AG; Davis AR; Tantillo DJ; Olson DE,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
131,10.1016/j.tips.2025.08.012,,,Emerging mechanisms of psilocybin-induced neuroplasticity.,2025,Sonda S; Pendin D; Comai S; De Martin S; Manfredi P; Mattarei A,candidate_paper_corpus | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
132,10.1126/science.abb6748,,,Enhanced ERK activity extends ketamine's antidepressant effects by augmenting synaptic plasticity.,2025,Ma ZZ; Guzikowski NJ; Kim JW; Kavalali ET; Monteggia LM,candidate_paper_corpus | disorder:paper_library
133,10.1186/s10194-025-02008-0,,,Ergotamine enhances circadian amplitude and diurnally mitigates nitroglycerin-induced mechanical hypersensitivity.,2025,Han C; Baek H; Lim JY; Kim E; Tran CK; Freeman E; Chen Z; Yoo SH; Burish MJ,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library | mechanistic:stubs
134,10.1177/00185787251384516,,,Esketamine for Treatment-Resistant Depression in Pakistan: A Promising Strategy.,2025,Memon M; Gul R; Gul A; Bansari S; Bansari M; Khowaja A; Kumar S; Kumar K; Khan KS; Iman K,candidate_paper_corpus | disorder:exploratory | disorder:paper_library | disorder:stubs | mechanistic:paper_library | mechanistic:stubs
135,10.3389/fpsyt.2025.1612230,,,"Esketamine for postoperative sleep disturbance: clinical evidence, mechanisms, and future directions.",2025,Liu Q; Liu Y; Fu Q; Gao B; Liu Y,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
139,10.7759/cureus.86855,,,Exploring the Neuroprotective and Neuropsychiatric Symptom Management Potential of Ketamine in Alzheimer's Disease.,2025,Avakian A; Merhavy ZI,candidate_paper_corpus | mechanistic:paper_library
143,10.3389/fpsyt.2025.1565852,,,Harnessing neuroplasticity with psychoplastogens: the essential role of psychotherapy in psychedelic treatment optimization.,2025,Jones JL,candidate_paper_corpus | disorder:paper_library
144,10.1177/02698811251352454,,,High-frequency oscillations in the mammalian brain after ketamine and other NMDA receptor antagonists.,2025,Hunt MJ; Wróbel J,candidate_paper_corpus | mechanistic:paper_library
146,10.1016/j.omtm.2025.101413,,,"Intravenous esketamine in pediatric Rett syndrome: An open-label, early phase 1 pilot study.",2025,Li H; Liu S; Lin C; Wu Y; Wu X; Huang Y; Wu Y; Tong X; Xu X,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
147,10.3389/fphar.2025.1606976,,,"KETAMIR-2, a new molecular entity and novel ketamine analog.",2025,Angel I; Perelroizen R; Deffains W; Adraoui FW; Pichinuk E; Aminov E,candidate_paper_corpus | mechanistic:curated | mechanistic:paper_library
148,10.1016/j.pbb.2025.174056,,,KOR agonists for the treatment and/or prevention of opioid use disorder and cocaine use disorder.,2025,Liu-Chen LY; Huang P,candidate_paper_corpus | disorder:paper_library
