doi,mapping_status,current_pmid,verified_pmid,current_pmcid,verified_pmcid,verified_doi,idconv_status,idconv_error
10.1002/14651858.cd015345,pmcid_missing_locally,,,,PMC9258783,10.1002/14651858.cd015345,,
10.1002/14651858.cd015373,pmcid_missing_locally,,,,PMC9950034,10.1002/14651858.cd015373,,
10.1002/14651858.cd015383,pmcid_missing_locally,,,,PMC9677948,10.1002/14651858.cd015383,,
10.1002/14651858.cd015383.pub2,pmcid_verified,39260823,39260823,PMC11390284,PMC11390284,10.1002/14651858.cd015383.pub2,,
10.1002/1873-3468.15042,pmcid_verified,39449146,39449146,PMC11808438,PMC11808438,10.1002/1873-3468.15042,,
10.1002/1873-3468.15099,pmcid_verified,39865564,39865564,PMC11931985,PMC11931985,10.1002/1873-3468.15099,,
10.1002/2211-5463.13219,pmcid_verified,34092045,34092045,PMC8329952,PMC8329952,10.1002/2211-5463.13219,,
10.1002/ab.22022,pmcid_verified,35122262,35122262,PMC9007895,PMC9007895,10.1002/ab.22022,,
10.1002/acn3.51406,pmcid_verified,34227748,34227748,PMC8283169,PMC8283169,10.1002/acn3.51406,,
10.1002/advs.202303503,pmcid_verified,38155473,38155473,PMC10933643,PMC10933643,10.1002/advs.202303503,,
10.1002/advs.202413786,pmcid_verified,40112231,40112231,PMC12005819,PMC12005819,10.1002/advs.202413786,,
10.1002/advs.202416481,pmcid_verified,40171943,40171943,PMC12199433,PMC12199433,10.1002/advs.202416481,,
10.1002/advs.202500805,pmcid_verified,40995691,40995691,PMC12697765,PMC12697765,10.1002/advs.202500805,,
10.1002/advs.202500808,pmcid_verified,40068108,40068108,PMC12061310,PMC12061310,10.1002/advs.202500808,,
10.1002/advs.202511780,pmcid_verified,41261994,41261994,PMC12931207,PMC12931207,10.1002/advs.202511780,,
10.1002/advs.202516024,pmcid_verified,41391033,41391033,PMC12866882,PMC12866882,10.1002/advs.202516024,,
10.1002/ajmg.b.33038,pmcid_verified,40525674,40525674,PMC12230785,PMC12230785,10.1002/ajmg.b.33038,,
10.1002/alz.078645,no_pmcid,,,,,10.1002/alz.078645,error,Identifier not found in PMC
10.1002/alz.084413,pmcid_verified,,,PMC11712378,PMC11712378,10.1002/alz.084413,,
10.1002/alz.14034,pmcid_verified,38934107,38934107,PMC11350050,PMC11350050,10.1002/alz.14034,,
10.1002/anie.201910175,pmcid_verified,31725937,31725937,PMC7004109,PMC7004109,10.1002/anie.201910175,,
10.1002/anie.202203034,pmcid_verified,35349196,35349196,PMC9324199,PMC9324199,10.1002/anie.202203034,,
10.1002/ardp.70022,pmcid_verified,40702794,40702794,PMC12287680,PMC12287680,10.1002/ardp.70022,,
10.1002/bit.70137,pmcid_verified,41467547,41467547,PMC13003429,PMC13003429,10.1002/bit.70137,,
10.1002/bmc.70171,pmcid_verified,40692288,40692288,PMC12280840,PMC12280840,10.1002/bmc.70171,,
10.1002/bmc.716,no_pmcid,17080504,,,,10.1002/bmc.716,error,Identifier not found in PMC
10.1002/brb3.1423,pmcid_verified,31617335,31617335,PMC6851815,PMC6851815,10.1002/brb3.1423,,
10.1002/brb3.1600,pmcid_verified,32174025,32174025,PMC7218248,PMC7218248,10.1002/brb3.1600,,
10.1002/brb3.1674,pmcid_verified,32621379,32621379,PMC7428494,PMC7428494,10.1002/brb3.1674,,
10.1002/brb3.1715,pmcid_verified,32812388,32812388,PMC7507540,PMC7507540,10.1002/brb3.1715,,
10.1002/brb3.1775,pmcid_verified,33305900,33305900,PMC7821612,PMC7821612,10.1002/brb3.1775,,
10.1002/brb3.2381,pmcid_verified,34661999,34661999,PMC8613439,PMC8613439,10.1002/brb3.2381,,
10.1002/brb3.2483,pmcid_verified,35041295,35041295,PMC8865164,PMC8865164,10.1002/brb3.2483,,
10.1002/brb3.2986,pmcid_verified,37032465,37032465,PMC10176018,PMC10176018,10.1002/brb3.2986,,
10.1002/brb3.3511,pmcid_verified,38894648,38894648,PMC11187958,PMC11187958,10.1002/brb3.3511,,
10.1002/brb3.7,pmcid_verified,22398980,22398980,PMC3217673,PMC3217673,10.1002/brb3.7,,
10.1002/brb3.70166,pmcid_verified,39607091,39607091,PMC11603427,PMC11603427,10.1002/brb3.70166,,
10.1002/brb3.70660,pmcid_verified,40619953,40619953,PMC12230355,PMC12230355,10.1002/brb3.70660,,
10.1002/brb3.71043,pmcid_verified,41236391,41236391,PMC12617272,PMC12617272,10.1002/brb3.71043,,
10.1002/brb3.71164,pmcid_verified,41527475,41527475,PMC12796847,PMC12796847,10.1002/brb3.71164,,
10.1002/brb3.71187,pmcid_verified,41987579,41987579,PMC13084194,PMC13084194,10.1002/brb3.71187,,
10.1002/brb3.71255,pmcid_verified,41656677,41656677,PMC12883703,PMC12883703,10.1002/brb3.71255,,
10.1002/brb3.71262,pmcid_verified,41699875,41699875,PMC12910122,PMC12910122,10.1002/brb3.71262,,
10.1002/brb3.71265,pmcid_verified,41699879,41699879,PMC12910117,PMC12910117,10.1002/brb3.71265,,
10.1002/brb3.71280,pmcid_verified,41958148,41958148,PMC13066719,PMC13066719,10.1002/brb3.71280,,
10.1002/brb3.71406,pmcid_verified,42007539,42007539,PMC13093898,PMC13093898,10.1002/brb3.71406,,
10.1002/brb3.749,pmcid_verified,28828210,28828210,PMC5561310,PMC5561310,10.1002/brb3.749,,
10.1002/cam4.70586,pmcid_verified,40052631,40052631,PMC11886891,PMC11886891,10.1002/cam4.70586,,
10.1002/cbic.202200183,pmcid_verified,35483009,35483009,PMC9401598,PMC9401598,10.1002/cbic.202200183,,
10.1002/ccr3.3869,pmcid_verified,34026123,34026123,PMC8117825,PMC8117825,10.1002/ccr3.3869,,
10.1002/ccr3.6675,pmcid_verified,36523376,36523376,PMC9748241,PMC9748241,10.1002/ccr3.6675,,
10.1002/ccr3.8791,pmcid_verified,38813452,38813452,PMC11133386,PMC11133386,10.1002/ccr3.8791,,
10.1002/ccr3.9305,pmcid_verified,39219779,39219779,PMC11364487,PMC11364487,10.1002/ccr3.9305,,
10.1002/ccr3.9421,pmcid_verified,39281029,39281029,PMC11392824,PMC11392824,10.1002/ccr3.9421,,
10.1002/chem.201905688,no_pmcid,31943443,,,,10.1002/chem.201905688,error,Identifier not found in PMC
10.1002/chem.202000134,pmcid_verified,32101345,32101345,PMC7383583,PMC7383583,10.1002/chem.202000134,,
10.1002/chem.202101382,pmcid_verified,34062028,34062028,PMC8457229,PMC8457229,10.1002/chem.202101382,,
10.1002/chem.202501037,pmcid_verified,40202903,40202903,PMC12099186,PMC12099186,10.1002/chem.202501037,,
10.1002/chir.20890,pmcid_verified,20803495,20803495,PMC4701199,PMC4701199,10.1002/chir.20890,,
10.1002/cmdc.202100684,pmcid_verified,35043597,35043597,PMC9015904,PMC9015904,10.1002/cmdc.202100684,,
10.1002/cmdc.202500856,pmcid_verified,41633610,41633610,PMC12867590,PMC12867590,10.1002/cmdc.202500856,,
10.1002/cncr.35010,no_pmcid,38105655,,,,10.1002/cncr.35010,error,Identifier not found in PMC
10.1002/cncr.35024,no_pmcid,38105653,,,,10.1002/cncr.35024,error,Identifier not found in PMC
10.1002/cne.23048,pmcid_verified,22237931,22237931,PMC3891916,PMC3891916,10.1002/cne.23048,,
10.1002/cns.70890,pmcid_verified,42126345,42126345,PMC13170474,PMC13170474,10.1002/cns.70890,,
10.1002/cpp.2880,no_pmcid,37394242,,,,10.1002/cpp.2880,error,Identifier not found in PMC
10.1002/cpp.2945,no_pmcid,38148518,,,,10.1002/cpp.2945,error,Identifier not found in PMC
10.1002/cpt.2024,pmcid_verified,32860422,32860422,PMC7894501,PMC7894501,10.1002/cpt.2024,,
10.1002/cpt.2057,pmcid_verified,32975835,32975835,PMC7984326,PMC7984326,10.1002/cpt.2057,,
10.1002/cpt.2166,pmcid_verified,33448339,33448339,PMC8693800,PMC8693800,10.1002/cpt.2166,,
10.1002/cpt.2487,pmcid_verified,34743319,34743319,PMC9299061,PMC9299061,10.1002/cpt.2487,,
10.1002/cpt.2640,pmcid_verified,35560226,35560226,PMC9540482,PMC9540482,10.1002/cpt.2640,,
10.1002/cpt.2859,no_pmcid,36919996,,,,10.1002/cpt.2859,error,Identifier not found in PMC
10.1002/cpt.2958,no_pmcid,37253161,,,,10.1002/cpt.2958,error,Identifier not found in PMC
10.1002/cpt.3050,no_pmcid,37795632,,,,10.1002/cpt.3050,error,Identifier not found in PMC
10.1002/cpt.3391,pmcid_verified,39054770,39054770,PMC11479831,PMC11479831,10.1002/cpt.3391,,
10.1002/cpt.3459,pmcid_verified,39345195,39345195,PMC11652822,PMC11652822,10.1002/cpt.3459,,
10.1002/cpt.3478,pmcid_verified,39428602,39428602,PMC11739757,PMC11739757,10.1002/cpt.3478,,
10.1002/cpt.3618,pmcid_verified,40022427,40022427,PMC12087691,PMC12087691,10.1002/cpt.3618,,
10.1002/cpt.3726,pmcid_verified,40418105,40418105,PMC12355019,PMC12355019,10.1002/cpt.3726,,
10.1002/cpt.538,pmcid_verified,27756105,27756105,PMC6704356,PMC6704356,10.1002/cpt.538,,
10.1002/cpt.565,pmcid_verified,27859039,27859039,PMC5260336,PMC5260336,10.1002/cpt.565,,
10.1002/cpt.70018,pmcid_verified,40810366,40810366,PMC12598133,PMC12598133,10.1002/cpt.70018,,
10.1002/ctm2.70641,pmcid_verified,41859850,41859850,PMC13093759,PMC13093759,10.1002/ctm2.70641,,
10.1002/da.22224,pmcid_verified,24353110,24353110,PMC3984598,PMC3984598,10.1002/da.22224,,
10.1002/da.22227,pmcid_verified,24616149,24616149,PMC4432471,PMC4432471,10.1002/da.22227,,
10.1002/da.22253,pmcid_verified,24668760,24668760,PMC4112410,PMC4112410,10.1002/da.22253,,
10.1002/da.22498,pmcid_verified,27082101,27082101,PMC6676475,PMC6676475,10.1002/da.22498,,
10.1002/da.22501,pmcid_verified,27062302,27062302,PMC4961540,PMC4961540,10.1002/da.22501,,
10.1002/da.23065,no_pmcid,32627308,,,,10.1002/da.23065,error,Identifier not found in PMC
10.1002/da.23138,pmcid_verified,33475213,33475213,PMC8248018,PMC8248018,10.1002/da.23138,,
10.1002/da.23193,pmcid_verified,34293233,34293233,PMC9291524,PMC9291524,10.1002/da.23193,,
10.1002/ddr.21228,pmcid_verified,25315690,25315690,PMC4276473,PMC4276473,10.1002/ddr.21228,,
10.1002/dev.21843,pmcid_verified,30868562,30868562,PMC7441824,PMC7441824,10.1002/dev.21843,,
10.1002/dta.1333,pmcid_verified,22517680,22517680,PMC3722587,PMC3722587,10.1002/dta.1333,,
10.1002/dta.1732,pmcid_verified,25331619,25331619,PMC5331736,PMC5331736,10.1002/dta.1732,,
10.1002/dta.1884,pmcid_verified,26456305,26456305,PMC4829483,PMC4829483,10.1002/dta.1884,,
10.1002/dta.1957,no_pmcid,26888521,,,,10.1002/dta.1957,error,Identifier not found in PMC
10.1002/dta.1985,pmcid_verified,27265891,27265891,PMC5411264,PMC5411264,10.1002/dta.1985,,
10.1002/dta.2213,no_pmcid,28513099,,,,10.1002/dta.2213,error,Identifier not found in PMC
10.1002/dta.2222,pmcid_verified,28585392,28585392,PMC6230476,PMC6230476,10.1002/dta.2222,,
10.1002/dta.2396,pmcid_verified,29673128,29673128,PMC7316143,PMC7316143,10.1002/dta.2396,,
10.1002/dta.2582,pmcid_verified,30845376,30845376,PMC6615953,PMC6615953,10.1002/dta.2582,,
