# query|compound|entity
25I-NBOMe D4 receptor DRD4 functional assay agonist antagonist|25I-NBOMe|D4 receptor (DRD4)
25I-NBOMe D5 receptor DRD5 binding affinity Ki|25I-NBOMe|D5 receptor (DRD5)
25I-NBOMe D5 receptor DRD5 receptor pharmacology assay|25I-NBOMe|D5 receptor (DRD5)
25I-NBOMe D5 receptor DRD5 functional assay agonist antagonist|25I-NBOMe|D5 receptor (DRD5)
25I-NBOMe Alpha1A adrenergic receptor ADRA1A binding affinity Ki|25I-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25I-NBOMe Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|25I-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25I-NBOMe Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|25I-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25I-NBOMe Alpha1B adrenergic receptor ADRA1B binding affinity Ki|25I-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25I-NBOMe Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|25I-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25I-NBOMe Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|25I-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25I-NBOMe Alpha2A adrenergic receptor ADRA2A binding affinity Ki|25I-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25I-NBOMe Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|25I-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25I-NBOMe Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|25I-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25I-NBOMe Alpha2B adrenergic receptor ADRA2B binding affinity Ki|25I-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25I-NBOMe Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|25I-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25I-NBOMe Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|25I-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25I-NBOMe Alpha2C adrenergic receptor ADRA2C binding affinity Ki|25I-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25I-NBOMe Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|25I-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25I-NBOMe Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|25I-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25I-NBOMe Beta1 adrenergic receptor ADRB1 binding affinity Ki|25I-NBOMe|Beta1 adrenergic receptor (ADRB1)
25I-NBOMe Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|25I-NBOMe|Beta1 adrenergic receptor (ADRB1)
25I-NBOMe Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|25I-NBOMe|Beta1 adrenergic receptor (ADRB1)
25I-NBOMe Beta2 adrenergic receptor ADRB2 binding affinity Ki|25I-NBOMe|Beta2 adrenergic receptor (ADRB2)
25I-NBOMe Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|25I-NBOMe|Beta2 adrenergic receptor (ADRB2)
25I-NBOMe Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|25I-NBOMe|Beta2 adrenergic receptor (ADRB2)
25I-NBOMe M1 muscarinic receptor CHRM1 binding affinity Ki|25I-NBOMe|M1 muscarinic receptor (CHRM1)
25I-NBOMe M1 muscarinic receptor CHRM1 receptor pharmacology assay|25I-NBOMe|M1 muscarinic receptor (CHRM1)
25I-NBOMe M1 muscarinic receptor CHRM1 functional assay agonist antagonist|25I-NBOMe|M1 muscarinic receptor (CHRM1)
25I-NBOMe M2 muscarinic receptor CHRM2 binding affinity Ki|25I-NBOMe|M2 muscarinic receptor (CHRM2)
25I-NBOMe M2 muscarinic receptor CHRM2 receptor pharmacology assay|25I-NBOMe|M2 muscarinic receptor (CHRM2)
25I-NBOMe M2 muscarinic receptor CHRM2 functional assay agonist antagonist|25I-NBOMe|M2 muscarinic receptor (CHRM2)
25I-NBOMe M3 muscarinic receptor CHRM3 binding affinity Ki|25I-NBOMe|M3 muscarinic receptor (CHRM3)
25I-NBOMe M3 muscarinic receptor CHRM3 receptor pharmacology assay|25I-NBOMe|M3 muscarinic receptor (CHRM3)
25I-NBOMe M3 muscarinic receptor CHRM3 functional assay agonist antagonist|25I-NBOMe|M3 muscarinic receptor (CHRM3)
25I-NBOMe M4 muscarinic receptor CHRM4 binding affinity Ki|25I-NBOMe|M4 muscarinic receptor (CHRM4)
25I-NBOMe M4 muscarinic receptor CHRM4 receptor pharmacology assay|25I-NBOMe|M4 muscarinic receptor (CHRM4)
25I-NBOMe M4 muscarinic receptor CHRM4 functional assay agonist antagonist|25I-NBOMe|M4 muscarinic receptor (CHRM4)
25I-NBOMe M5 muscarinic receptor CHRM5 binding affinity Ki|25I-NBOMe|M5 muscarinic receptor (CHRM5)
25I-NBOMe M5 muscarinic receptor CHRM5 receptor pharmacology assay|25I-NBOMe|M5 muscarinic receptor (CHRM5)
25I-NBOMe M5 muscarinic receptor CHRM5 functional assay agonist antagonist|25I-NBOMe|M5 muscarinic receptor (CHRM5)
25I-NBOMe H1 receptor HRH1 binding affinity Ki|25I-NBOMe|H1 receptor (HRH1)
25I-NBOMe H1 receptor HRH1 receptor pharmacology assay|25I-NBOMe|H1 receptor (HRH1)
25I-NBOMe H1 receptor HRH1 functional assay agonist antagonist|25I-NBOMe|H1 receptor (HRH1)
25I-NBOMe H2 receptor HRH2 binding affinity Ki|25I-NBOMe|H2 receptor (HRH2)
25I-NBOMe H2 receptor HRH2 receptor pharmacology assay|25I-NBOMe|H2 receptor (HRH2)
25I-NBOMe H2 receptor HRH2 functional assay agonist antagonist|25I-NBOMe|H2 receptor (HRH2)
25I-NBOMe Sigma-1 receptor SIGMAR1 binding affinity Ki|25I-NBOMe|Sigma-1 receptor (SIGMAR1)
25I-NBOMe Sigma-1 receptor SIGMAR1 receptor pharmacology assay|25I-NBOMe|Sigma-1 receptor (SIGMAR1)
25I-NBOMe Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|25I-NBOMe|Sigma-1 receptor (SIGMAR1)
25I-NBOMe Sigma-2 receptor TMEM97 binding affinity Ki|25I-NBOMe|Sigma-2 receptor (TMEM97)
25I-NBOMe Sigma-2 receptor TMEM97 receptor pharmacology assay|25I-NBOMe|Sigma-2 receptor (TMEM97)
25I-NBOMe Sigma-2 receptor TMEM97 functional assay agonist antagonist|25I-NBOMe|Sigma-2 receptor (TMEM97)
25I-NBOMe kappa opioid receptor OPRK1 binding affinity Ki|25I-NBOMe|kappa opioid receptor (OPRK1)
25I-NBOMe kappa opioid receptor OPRK1 receptor pharmacology assay|25I-NBOMe|kappa opioid receptor (OPRK1)
25I-NBOMe kappa opioid receptor OPRK1 functional assay agonist antagonist|25I-NBOMe|kappa opioid receptor (OPRK1)
25I-NBOMe mu opioid receptor OPRM1 binding affinity Ki|25I-NBOMe|mu opioid receptor (OPRM1)
25I-NBOMe mu opioid receptor OPRM1 receptor pharmacology assay|25I-NBOMe|mu opioid receptor (OPRM1)
25I-NBOMe mu opioid receptor OPRM1 functional assay agonist antagonist|25I-NBOMe|mu opioid receptor (OPRM1)
25I-NBOMe delta opioid receptor OPRD1 binding affinity Ki|25I-NBOMe|delta opioid receptor (OPRD1)
25I-NBOMe delta opioid receptor OPRD1 receptor pharmacology assay|25I-NBOMe|delta opioid receptor (OPRD1)
25I-NBOMe delta opioid receptor OPRD1 functional assay agonist antagonist|25I-NBOMe|delta opioid receptor (OPRD1)
25I-NBOMe NMDA receptor binding affinity Ki|25I-NBOMe|NMDA receptor
25I-NBOMe NMDA receptor pharmacology assay|25I-NBOMe|NMDA receptor
25I-NBOMe NMDA receptor functional assay agonist antagonist|25I-NBOMe|NMDA receptor
25I-NBOMe AMPA receptor binding affinity Ki|25I-NBOMe|AMPA receptor
25I-NBOMe AMPA receptor pharmacology assay|25I-NBOMe|AMPA receptor
25I-NBOMe AMPA receptor functional assay agonist antagonist|25I-NBOMe|AMPA receptor
25I-NBOMe TrkB NTRK2 binding affinity Ki|25I-NBOMe|TrkB (NTRK2)
25I-NBOMe TrkB NTRK2 receptor pharmacology assay|25I-NBOMe|TrkB (NTRK2)
25I-NBOMe TrkB NTRK2 functional assay agonist antagonist|25I-NBOMe|TrkB (NTRK2)
25I-NBOMe CB1 receptor CNR1 binding affinity Ki|25I-NBOMe|CB1 receptor (CNR1)
25I-NBOMe CB1 receptor CNR1 receptor pharmacology assay|25I-NBOMe|CB1 receptor (CNR1)
25I-NBOMe CB1 receptor CNR1 functional assay agonist antagonist|25I-NBOMe|CB1 receptor (CNR1)
25I-NBOMe CB2 receptor CNR2 binding affinity Ki|25I-NBOMe|CB2 receptor (CNR2)
25I-NBOMe CB2 receptor CNR2 receptor pharmacology assay|25I-NBOMe|CB2 receptor (CNR2)
25I-NBOMe CB2 receptor CNR2 functional assay agonist antagonist|25I-NBOMe|CB2 receptor (CNR2)
25B-NBOMe 5-HT2A binding affinity Ki|25B-NBOMe|5-HT2A
25B-NBOMe 5-HT2A receptor pharmacology assay|25B-NBOMe|5-HT2A
25B-NBOMe 5-HT2A functional assay agonist antagonist|25B-NBOMe|5-HT2A
25B-NBOMe 5-HT2B binding affinity Ki|25B-NBOMe|5-HT2B
25B-NBOMe 5-HT2B receptor pharmacology assay|25B-NBOMe|5-HT2B
25B-NBOMe 5-HT2B functional assay agonist antagonist|25B-NBOMe|5-HT2B
25B-NBOMe 5-HT2C binding affinity Ki|25B-NBOMe|5-HT2C
25B-NBOMe 5-HT2C receptor pharmacology assay|25B-NBOMe|5-HT2C
25B-NBOMe 5-HT2C functional assay agonist antagonist|25B-NBOMe|5-HT2C
25B-NBOMe 5-HT1A binding affinity Ki|25B-NBOMe|5-HT1A
25B-NBOMe 5-HT1A receptor pharmacology assay|25B-NBOMe|5-HT1A
25B-NBOMe 5-HT1A functional assay agonist antagonist|25B-NBOMe|5-HT1A
25B-NBOMe 5-HT1B binding affinity Ki|25B-NBOMe|5-HT1B
25B-NBOMe 5-HT1B receptor pharmacology assay|25B-NBOMe|5-HT1B
25B-NBOMe 5-HT1B functional assay agonist antagonist|25B-NBOMe|5-HT1B
25B-NBOMe 5-HT1D binding affinity Ki|25B-NBOMe|5-HT1D
25B-NBOMe 5-HT1D receptor pharmacology assay|25B-NBOMe|5-HT1D
25B-NBOMe 5-HT1D functional assay agonist antagonist|25B-NBOMe|5-HT1D
25B-NBOMe 5-HT1E binding affinity Ki|25B-NBOMe|5-HT1E
25B-NBOMe 5-HT1E receptor pharmacology assay|25B-NBOMe|5-HT1E
25B-NBOMe 5-HT1E functional assay agonist antagonist|25B-NBOMe|5-HT1E
25B-NBOMe 5-HT1F binding affinity Ki|25B-NBOMe|5-HT1F
25B-NBOMe 5-HT1F receptor pharmacology assay|25B-NBOMe|5-HT1F
25B-NBOMe 5-HT1F functional assay agonist antagonist|25B-NBOMe|5-HT1F
25B-NBOMe 5-HT5A binding affinity Ki|25B-NBOMe|5-HT5A
25B-NBOMe 5-HT5A receptor pharmacology assay|25B-NBOMe|5-HT5A
25B-NBOMe 5-HT5A functional assay agonist antagonist|25B-NBOMe|5-HT5A
25B-NBOMe 5-HT6 binding affinity Ki|25B-NBOMe|5-HT6
25B-NBOMe 5-HT6 receptor pharmacology assay|25B-NBOMe|5-HT6
25B-NBOMe 5-HT6 functional assay agonist antagonist|25B-NBOMe|5-HT6
25B-NBOMe 5-HT7 binding affinity Ki|25B-NBOMe|5-HT7
25B-NBOMe 5-HT7 receptor pharmacology assay|25B-NBOMe|5-HT7
25B-NBOMe 5-HT7 functional assay agonist antagonist|25B-NBOMe|5-HT7
25B-NBOMe mGluR2 GRM2 binding affinity Ki|25B-NBOMe|mGluR2 (GRM2)
25B-NBOMe mGluR2 GRM2 receptor pharmacology assay|25B-NBOMe|mGluR2 (GRM2)
25B-NBOMe mGluR2 GRM2 functional assay agonist antagonist|25B-NBOMe|mGluR2 (GRM2)
25B-NBOMe TAAR1 binding affinity Ki|25B-NBOMe|TAAR1
25B-NBOMe TAAR1 receptor pharmacology assay|25B-NBOMe|TAAR1
25B-NBOMe TAAR1 functional assay agonist antagonist|25B-NBOMe|TAAR1
25B-NBOMe SERT SLC6A4 binding affinity Ki|25B-NBOMe|SERT (SLC6A4)
25B-NBOMe SERT SLC6A4 receptor pharmacology assay|25B-NBOMe|SERT (SLC6A4)
25B-NBOMe SERT SLC6A4 functional assay agonist antagonist|25B-NBOMe|SERT (SLC6A4)
25B-NBOMe NET SLC6A2 binding affinity Ki|25B-NBOMe|NET (SLC6A2)
25B-NBOMe NET SLC6A2 receptor pharmacology assay|25B-NBOMe|NET (SLC6A2)
25B-NBOMe NET SLC6A2 functional assay agonist antagonist|25B-NBOMe|NET (SLC6A2)
25B-NBOMe DAT SLC6A3 binding affinity Ki|25B-NBOMe|DAT (SLC6A3)
25B-NBOMe DAT SLC6A3 receptor pharmacology assay|25B-NBOMe|DAT (SLC6A3)
25B-NBOMe DAT SLC6A3 functional assay agonist antagonist|25B-NBOMe|DAT (SLC6A3)
25B-NBOMe VMAT2 SLC18A2 binding affinity Ki|25B-NBOMe|VMAT2 (SLC18A2)
25B-NBOMe VMAT2 SLC18A2 receptor pharmacology assay|25B-NBOMe|VMAT2 (SLC18A2)
25B-NBOMe VMAT2 SLC18A2 functional assay agonist antagonist|25B-NBOMe|VMAT2 (SLC18A2)
25B-NBOMe D1 receptor DRD1 binding affinity Ki|25B-NBOMe|D1 receptor (DRD1)
25B-NBOMe D1 receptor DRD1 receptor pharmacology assay|25B-NBOMe|D1 receptor (DRD1)
25B-NBOMe D1 receptor DRD1 functional assay agonist antagonist|25B-NBOMe|D1 receptor (DRD1)
25B-NBOMe D2 receptor DRD2 binding affinity Ki|25B-NBOMe|D2 receptor (DRD2)
25B-NBOMe D2 receptor DRD2 receptor pharmacology assay|25B-NBOMe|D2 receptor (DRD2)
25B-NBOMe D2 receptor DRD2 functional assay agonist antagonist|25B-NBOMe|D2 receptor (DRD2)
25B-NBOMe D3 receptor DRD3 binding affinity Ki|25B-NBOMe|D3 receptor (DRD3)
25B-NBOMe D3 receptor DRD3 receptor pharmacology assay|25B-NBOMe|D3 receptor (DRD3)
25B-NBOMe D3 receptor DRD3 functional assay agonist antagonist|25B-NBOMe|D3 receptor (DRD3)
25B-NBOMe D4 receptor DRD4 binding affinity Ki|25B-NBOMe|D4 receptor (DRD4)
25B-NBOMe D4 receptor DRD4 receptor pharmacology assay|25B-NBOMe|D4 receptor (DRD4)
25B-NBOMe D4 receptor DRD4 functional assay agonist antagonist|25B-NBOMe|D4 receptor (DRD4)
25B-NBOMe D5 receptor DRD5 binding affinity Ki|25B-NBOMe|D5 receptor (DRD5)
25B-NBOMe D5 receptor DRD5 receptor pharmacology assay|25B-NBOMe|D5 receptor (DRD5)
25B-NBOMe D5 receptor DRD5 functional assay agonist antagonist|25B-NBOMe|D5 receptor (DRD5)
25B-NBOMe Alpha1A adrenergic receptor ADRA1A binding affinity Ki|25B-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25B-NBOMe Alpha1A adrenergic receptor ADRA1A receptor pharmacology assay|25B-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25B-NBOMe Alpha1A adrenergic receptor ADRA1A functional assay agonist antagonist|25B-NBOMe|Alpha1A adrenergic receptor (ADRA1A)
25B-NBOMe Alpha1B adrenergic receptor ADRA1B binding affinity Ki|25B-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25B-NBOMe Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|25B-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25B-NBOMe Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|25B-NBOMe|Alpha1B adrenergic receptor (ADRA1B)
25B-NBOMe Alpha2A adrenergic receptor ADRA2A binding affinity Ki|25B-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25B-NBOMe Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|25B-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25B-NBOMe Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|25B-NBOMe|Alpha2A adrenergic receptor (ADRA2A)
25B-NBOMe Alpha2B adrenergic receptor ADRA2B binding affinity Ki|25B-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25B-NBOMe Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|25B-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25B-NBOMe Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|25B-NBOMe|Alpha2B adrenergic receptor (ADRA2B)
25B-NBOMe Alpha2C adrenergic receptor ADRA2C binding affinity Ki|25B-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25B-NBOMe Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|25B-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25B-NBOMe Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|25B-NBOMe|Alpha2C adrenergic receptor (ADRA2C)
25B-NBOMe Beta1 adrenergic receptor ADRB1 binding affinity Ki|25B-NBOMe|Beta1 adrenergic receptor (ADRB1)
25B-NBOMe Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|25B-NBOMe|Beta1 adrenergic receptor (ADRB1)
25B-NBOMe Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|25B-NBOMe|Beta1 adrenergic receptor (ADRB1)
25B-NBOMe Beta2 adrenergic receptor ADRB2 binding affinity Ki|25B-NBOMe|Beta2 adrenergic receptor (ADRB2)
25B-NBOMe Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|25B-NBOMe|Beta2 adrenergic receptor (ADRB2)
25B-NBOMe Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|25B-NBOMe|Beta2 adrenergic receptor (ADRB2)
25B-NBOMe M1 muscarinic receptor CHRM1 binding affinity Ki|25B-NBOMe|M1 muscarinic receptor (CHRM1)
25B-NBOMe M1 muscarinic receptor CHRM1 receptor pharmacology assay|25B-NBOMe|M1 muscarinic receptor (CHRM1)
25B-NBOMe M1 muscarinic receptor CHRM1 functional assay agonist antagonist|25B-NBOMe|M1 muscarinic receptor (CHRM1)
25B-NBOMe M2 muscarinic receptor CHRM2 binding affinity Ki|25B-NBOMe|M2 muscarinic receptor (CHRM2)
25B-NBOMe M2 muscarinic receptor CHRM2 receptor pharmacology assay|25B-NBOMe|M2 muscarinic receptor (CHRM2)
25B-NBOMe M2 muscarinic receptor CHRM2 functional assay agonist antagonist|25B-NBOMe|M2 muscarinic receptor (CHRM2)
25B-NBOMe M3 muscarinic receptor CHRM3 binding affinity Ki|25B-NBOMe|M3 muscarinic receptor (CHRM3)
25B-NBOMe M3 muscarinic receptor CHRM3 receptor pharmacology assay|25B-NBOMe|M3 muscarinic receptor (CHRM3)
25B-NBOMe M3 muscarinic receptor CHRM3 functional assay agonist antagonist|25B-NBOMe|M3 muscarinic receptor (CHRM3)
25B-NBOMe M4 muscarinic receptor CHRM4 binding affinity Ki|25B-NBOMe|M4 muscarinic receptor (CHRM4)
25B-NBOMe M4 muscarinic receptor CHRM4 receptor pharmacology assay|25B-NBOMe|M4 muscarinic receptor (CHRM4)
25B-NBOMe M4 muscarinic receptor CHRM4 functional assay agonist antagonist|25B-NBOMe|M4 muscarinic receptor (CHRM4)
25B-NBOMe M5 muscarinic receptor CHRM5 binding affinity Ki|25B-NBOMe|M5 muscarinic receptor (CHRM5)
25B-NBOMe M5 muscarinic receptor CHRM5 receptor pharmacology assay|25B-NBOMe|M5 muscarinic receptor (CHRM5)
25B-NBOMe M5 muscarinic receptor CHRM5 functional assay agonist antagonist|25B-NBOMe|M5 muscarinic receptor (CHRM5)
25B-NBOMe H1 receptor HRH1 binding affinity Ki|25B-NBOMe|H1 receptor (HRH1)
25B-NBOMe H1 receptor HRH1 receptor pharmacology assay|25B-NBOMe|H1 receptor (HRH1)
25B-NBOMe H1 receptor HRH1 functional assay agonist antagonist|25B-NBOMe|H1 receptor (HRH1)
25B-NBOMe H2 receptor HRH2 binding affinity Ki|25B-NBOMe|H2 receptor (HRH2)
25B-NBOMe H2 receptor HRH2 receptor pharmacology assay|25B-NBOMe|H2 receptor (HRH2)
25B-NBOMe H2 receptor HRH2 functional assay agonist antagonist|25B-NBOMe|H2 receptor (HRH2)
25B-NBOMe Sigma-1 receptor SIGMAR1 binding affinity Ki|25B-NBOMe|Sigma-1 receptor (SIGMAR1)
25B-NBOMe Sigma-1 receptor SIGMAR1 receptor pharmacology assay|25B-NBOMe|Sigma-1 receptor (SIGMAR1)
25B-NBOMe Sigma-1 receptor SIGMAR1 functional assay agonist antagonist|25B-NBOMe|Sigma-1 receptor (SIGMAR1)
25B-NBOMe Sigma-2 receptor TMEM97 binding affinity Ki|25B-NBOMe|Sigma-2 receptor (TMEM97)
25B-NBOMe Sigma-2 receptor TMEM97 receptor pharmacology assay|25B-NBOMe|Sigma-2 receptor (TMEM97)
25B-NBOMe Sigma-2 receptor TMEM97 functional assay agonist antagonist|25B-NBOMe|Sigma-2 receptor (TMEM97)
25B-NBOMe kappa opioid receptor OPRK1 binding affinity Ki|25B-NBOMe|kappa opioid receptor (OPRK1)
25B-NBOMe kappa opioid receptor OPRK1 receptor pharmacology assay|25B-NBOMe|kappa opioid receptor (OPRK1)
25B-NBOMe kappa opioid receptor OPRK1 functional assay agonist antagonist|25B-NBOMe|kappa opioid receptor (OPRK1)
25B-NBOMe mu opioid receptor OPRM1 binding affinity Ki|25B-NBOMe|mu opioid receptor (OPRM1)
25B-NBOMe mu opioid receptor OPRM1 receptor pharmacology assay|25B-NBOMe|mu opioid receptor (OPRM1)
25B-NBOMe mu opioid receptor OPRM1 functional assay agonist antagonist|25B-NBOMe|mu opioid receptor (OPRM1)
25B-NBOMe delta opioid receptor OPRD1 binding affinity Ki|25B-NBOMe|delta opioid receptor (OPRD1)
25B-NBOMe delta opioid receptor OPRD1 receptor pharmacology assay|25B-NBOMe|delta opioid receptor (OPRD1)
25B-NBOMe delta opioid receptor OPRD1 functional assay agonist antagonist|25B-NBOMe|delta opioid receptor (OPRD1)
25B-NBOMe NMDA receptor binding affinity Ki|25B-NBOMe|NMDA receptor
25B-NBOMe NMDA receptor pharmacology assay|25B-NBOMe|NMDA receptor
25B-NBOMe NMDA receptor functional assay agonist antagonist|25B-NBOMe|NMDA receptor
25B-NBOMe AMPA receptor binding affinity Ki|25B-NBOMe|AMPA receptor
25B-NBOMe AMPA receptor pharmacology assay|25B-NBOMe|AMPA receptor
25B-NBOMe AMPA receptor functional assay agonist antagonist|25B-NBOMe|AMPA receptor
25B-NBOMe TrkB NTRK2 binding affinity Ki|25B-NBOMe|TrkB (NTRK2)
25B-NBOMe TrkB NTRK2 receptor pharmacology assay|25B-NBOMe|TrkB (NTRK2)
25B-NBOMe TrkB NTRK2 functional assay agonist antagonist|25B-NBOMe|TrkB (NTRK2)
25B-NBOMe CB1 receptor CNR1 binding affinity Ki|25B-NBOMe|CB1 receptor (CNR1)
25B-NBOMe CB1 receptor CNR1 receptor pharmacology assay|25B-NBOMe|CB1 receptor (CNR1)
25B-NBOMe CB1 receptor CNR1 functional assay agonist antagonist|25B-NBOMe|CB1 receptor (CNR1)
25B-NBOMe CB2 receptor CNR2 binding affinity Ki|25B-NBOMe|CB2 receptor (CNR2)
25B-NBOMe CB2 receptor CNR2 receptor pharmacology assay|25B-NBOMe|CB2 receptor (CNR2)
25B-NBOMe CB2 receptor CNR2 functional assay agonist antagonist|25B-NBOMe|CB2 receptor (CNR2)
25C-NBOMe 5-HT2A binding affinity Ki|25C-NBOMe|5-HT2A
25C-NBOMe 5-HT2A receptor pharmacology assay|25C-NBOMe|5-HT2A
25C-NBOMe 5-HT2A functional assay agonist antagonist|25C-NBOMe|5-HT2A
25C-NBOMe 5-HT2B binding affinity Ki|25C-NBOMe|5-HT2B
25C-NBOMe 5-HT2B receptor pharmacology assay|25C-NBOMe|5-HT2B
25C-NBOMe 5-HT2B functional assay agonist antagonist|25C-NBOMe|5-HT2B
25C-NBOMe 5-HT2C binding affinity Ki|25C-NBOMe|5-HT2C
25C-NBOMe 5-HT2C receptor pharmacology assay|25C-NBOMe|5-HT2C
25C-NBOMe 5-HT2C functional assay agonist antagonist|25C-NBOMe|5-HT2C
25C-NBOMe 5-HT1A binding affinity Ki|25C-NBOMe|5-HT1A
25C-NBOMe 5-HT1A receptor pharmacology assay|25C-NBOMe|5-HT1A
25C-NBOMe 5-HT1A functional assay agonist antagonist|25C-NBOMe|5-HT1A
25C-NBOMe 5-HT1B binding affinity Ki|25C-NBOMe|5-HT1B
25C-NBOMe 5-HT1B receptor pharmacology assay|25C-NBOMe|5-HT1B
25C-NBOMe 5-HT1B functional assay agonist antagonist|25C-NBOMe|5-HT1B
25C-NBOMe 5-HT1D binding affinity Ki|25C-NBOMe|5-HT1D
25C-NBOMe 5-HT1D receptor pharmacology assay|25C-NBOMe|5-HT1D
25C-NBOMe 5-HT1D functional assay agonist antagonist|25C-NBOMe|5-HT1D
25C-NBOMe 5-HT1E binding affinity Ki|25C-NBOMe|5-HT1E
25C-NBOMe 5-HT1E receptor pharmacology assay|25C-NBOMe|5-HT1E
25C-NBOMe 5-HT1E functional assay agonist antagonist|25C-NBOMe|5-HT1E
25C-NBOMe 5-HT1F binding affinity Ki|25C-NBOMe|5-HT1F
25C-NBOMe 5-HT1F receptor pharmacology assay|25C-NBOMe|5-HT1F
25C-NBOMe 5-HT1F functional assay agonist antagonist|25C-NBOMe|5-HT1F
25C-NBOMe 5-HT5A binding affinity Ki|25C-NBOMe|5-HT5A
25C-NBOMe 5-HT5A receptor pharmacology assay|25C-NBOMe|5-HT5A
25C-NBOMe 5-HT5A functional assay agonist antagonist|25C-NBOMe|5-HT5A
25C-NBOMe 5-HT6 binding affinity Ki|25C-NBOMe|5-HT6
25C-NBOMe 5-HT6 receptor pharmacology assay|25C-NBOMe|5-HT6
25C-NBOMe 5-HT6 functional assay agonist antagonist|25C-NBOMe|5-HT6
25C-NBOMe 5-HT7 binding affinity Ki|25C-NBOMe|5-HT7
25C-NBOMe 5-HT7 receptor pharmacology assay|25C-NBOMe|5-HT7
25C-NBOMe 5-HT7 functional assay agonist antagonist|25C-NBOMe|5-HT7
25C-NBOMe mGluR2 GRM2 binding affinity Ki|25C-NBOMe|mGluR2 (GRM2)
25C-NBOMe mGluR2 GRM2 receptor pharmacology assay|25C-NBOMe|mGluR2 (GRM2)
25C-NBOMe mGluR2 GRM2 functional assay agonist antagonist|25C-NBOMe|mGluR2 (GRM2)
25C-NBOMe TAAR1 binding affinity Ki|25C-NBOMe|TAAR1
25C-NBOMe TAAR1 receptor pharmacology assay|25C-NBOMe|TAAR1
25C-NBOMe TAAR1 functional assay agonist antagonist|25C-NBOMe|TAAR1
25C-NBOMe SERT SLC6A4 binding affinity Ki|25C-NBOMe|SERT (SLC6A4)
25C-NBOMe SERT SLC6A4 receptor pharmacology assay|25C-NBOMe|SERT (SLC6A4)
25C-NBOMe SERT SLC6A4 functional assay agonist antagonist|25C-NBOMe|SERT (SLC6A4)
25C-NBOMe NET SLC6A2 binding affinity Ki|25C-NBOMe|NET (SLC6A2)
25C-NBOMe NET SLC6A2 receptor pharmacology assay|25C-NBOMe|NET (SLC6A2)
25C-NBOMe NET SLC6A2 functional assay agonist antagonist|25C-NBOMe|NET (SLC6A2)
25C-NBOMe DAT SLC6A3 binding affinity Ki|25C-NBOMe|DAT (SLC6A3)
25C-NBOMe DAT SLC6A3 receptor pharmacology assay|25C-NBOMe|DAT (SLC6A3)
