# query|compound|entity
LSD Alpha1B adrenergic receptor ADRA1B binding affinity Ki|LSD|Alpha1B adrenergic receptor (ADRA1B)
LSD Alpha1B adrenergic receptor ADRA1B receptor pharmacology assay|LSD|Alpha1B adrenergic receptor (ADRA1B)
LSD Alpha1B adrenergic receptor ADRA1B functional assay agonist antagonist|LSD|Alpha1B adrenergic receptor (ADRA1B)
LSD Alpha2A adrenergic receptor ADRA2A binding affinity Ki|LSD|Alpha2A adrenergic receptor (ADRA2A)
LSD Alpha2A adrenergic receptor ADRA2A receptor pharmacology assay|LSD|Alpha2A adrenergic receptor (ADRA2A)
LSD Alpha2A adrenergic receptor ADRA2A functional assay agonist antagonist|LSD|Alpha2A adrenergic receptor (ADRA2A)
LSD Alpha2B adrenergic receptor ADRA2B binding affinity Ki|LSD|Alpha2B adrenergic receptor (ADRA2B)
LSD Alpha2B adrenergic receptor ADRA2B receptor pharmacology assay|LSD|Alpha2B adrenergic receptor (ADRA2B)
LSD Alpha2B adrenergic receptor ADRA2B functional assay agonist antagonist|LSD|Alpha2B adrenergic receptor (ADRA2B)
LSD Alpha2C adrenergic receptor ADRA2C binding affinity Ki|LSD|Alpha2C adrenergic receptor (ADRA2C)
LSD Alpha2C adrenergic receptor ADRA2C receptor pharmacology assay|LSD|Alpha2C adrenergic receptor (ADRA2C)
LSD Alpha2C adrenergic receptor ADRA2C functional assay agonist antagonist|LSD|Alpha2C adrenergic receptor (ADRA2C)
LSD Beta1 adrenergic receptor ADRB1 binding affinity Ki|LSD|Beta1 adrenergic receptor (ADRB1)
LSD Beta1 adrenergic receptor ADRB1 receptor pharmacology assay|LSD|Beta1 adrenergic receptor (ADRB1)
LSD Beta1 adrenergic receptor ADRB1 functional assay agonist antagonist|LSD|Beta1 adrenergic receptor (ADRB1)
LSD Beta2 adrenergic receptor ADRB2 binding affinity Ki|LSD|Beta2 adrenergic receptor (ADRB2)
LSD Beta2 adrenergic receptor ADRB2 receptor pharmacology assay|LSD|Beta2 adrenergic receptor (ADRB2)
LSD Beta2 adrenergic receptor ADRB2 functional assay agonist antagonist|LSD|Beta2 adrenergic receptor (ADRB2)
LSD M1 muscarinic receptor CHRM1 binding affinity Ki|LSD|M1 muscarinic receptor (CHRM1)
LSD M1 muscarinic receptor CHRM1 receptor pharmacology assay|LSD|M1 muscarinic receptor (CHRM1)
LSD M1 muscarinic receptor CHRM1 functional assay agonist antagonist|LSD|M1 muscarinic receptor (CHRM1)
LSD M2 muscarinic receptor CHRM2 binding affinity Ki|LSD|M2 muscarinic receptor (CHRM2)
LSD M2 muscarinic receptor CHRM2 receptor pharmacology assay|LSD|M2 muscarinic receptor (CHRM2)
LSD M2 muscarinic receptor CHRM2 functional assay agonist antagonist|LSD|M2 muscarinic receptor (CHRM2)
