line_no,doi,compound,entity,title,year,authors,existing_sources
729,10.1007/978-3-319-50174-1_17,,,The Sigma-1 Receptor–A Therapeutic Target for the Treatment of ALS?,2017,Timur Mavlyutov; Erin M. Baker; Tasher M. Losenegger; Jaimie R. Kim; Brian Torres; Miles L. Epstein; Arnold E. Ruoho,candidate_paper_corpus | mechanistic:paper_library
730,10.1038/npp.2017.84,,,"The Therapeutic Potential of Psychedelic Drugs: Past, Present, and Future",2017,Robin Carhart‐Harris; Guy M. Goodwin,candidate_paper_corpus | disorder:paper_library
731,10.1002/ejp.1002,,,The analgesic and anti‐inflammatory effects of Salvinorin A analogue β‐tetrahydropyran Salvinorin B in mice,2017,Kelly F. Paton; Nitin Kumar; Rachel Saylor Crowley; J.L. Harper; Thomas E. Prisinzano; Bronwyn M. Kivell,candidate_paper_corpus | mechanistic:paper_library
732,10.1016/j.mehy.2017.01.013,,,The fibrinolytic system: A new target for treatment of depression with psychedelics,2017,Richard Idell; Galina Florova; Andrey A. Komissarov; Sreerama Shetty; R. Girard; Steven Idell,candidate_paper_corpus | mechanistic:paper_library
734,10.1186/s13041-017-0306-y,,,The role of 5-HT receptors in depression,2017,Christine N. Yohn; Mark M. Gergues; Benjamin A. Samuels,candidate_paper_corpus | disorder:paper_library | mechanistic:paper_library
739,10.1124/jpet.115.228395,,,5-HT2 Receptor Regulation of Mitochondrial Genes: Unexpected Pharmacological Effects of Agonists and Antagonists,2016,Jennifer L. Harmon; Lauren Wills; Caitlin McOmish; Elena Y. Demireva; Jay A. Gingrich; Craig C. Beeson; Rick G. Schnellmann,candidate_paper_corpus | mechanistic:paper_library
740,10.1176/appi.ajp.2016.16010037,,,"A Double-Blind, Randomized, Placebo-Controlled, Dose-Frequency Study of Intravenous Ketamine in Patients With Treatment-Resistant Depression",2016,Jaskaran Singh; Maggie Fedgchin; Ella Daly; Peter de Boer; Kimberly Cooper; Pilar Lim; Christine Pinter; James W. Murrough; Gerard Sanacora; Richard C. Shelton,candidate_paper_corpus | disorder:curated | disorder:paper_library
741,10.1016/j.ejphar.2016.05.029,,,"A single dose of vortioxetine, but not ketamine or fluoxetine, increases plasticity-related gene expression in the rat frontal cortex",2016,Kristian Gaarn du Jardin; Heidi Kaastrup Müller; Connie Sánchez; Gregers Wegener; Betina Elfving,candidate_paper_corpus | disorder:paper_library
742,10.1111/jne.12374,,,Acute Effects of Lysergic Acid Diethylamide on Circulating Steroid Levels in Healthy Subjects,2016,Petra Strajhar; Yasmin Schmid; Evangelia Liakoni; Patrick C. Dolder; Katharina Rentsch; Denise V. Kratschmar; Alex Odermatt; Matthias E. Liechti,candidate_paper_corpus | mechanistic:paper_library | mechanistic:stubs
745,10.1038/nrd.2016.28,,,Altering the course of schizophrenia: progress and perspectives,2016,Mark J. Millan; Annie Andrieux; George Bartzokis; Kristin S. Cadenhead; Paola Dazzan; Paolo Fusar‐Poli; Jürgen Gallinat; Jay N. Giedd; Dennis R. Grayson; Markus Heinrichs,candidate_paper_corpus | disorder:paper_library
746,10.4137/jen.s40231,,,Amphetamine Withdrawal Differentially Increases the Expression of Organic Cation Transporter 3 and Serotonin Transporter in Limbic Brain Regions,2016,Rajeshwari R. Solanki; Jamie L. Scholl; Michael J. Watt; Kenneth J. Renner; Gina L. Forster,candidate_paper_corpus | mechanistic:paper_library
