# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1046/j.1460-9568.1999.00726.x,LSD,5-HT2A,LSD and DOB: interaction with 5‐HT<sub>2A</sub> receptors to inhibit NMDA receptor‐mediated transmission in the rat prefrontal cortex,1999,Viktor L. Arvanov; Xiaofu Liang; Angelo Russo; Rex Y. Wang
10.1053/j.gastro.2003.11.047,,AMPA receptor,The development and maintenance of human visceral pain hypersensitivity is dependent on the N-methyl-d-aspartate receptor,2004,Robert Paul Willert; Clifford J. Woolf; Anthony Robert Hobson; Claire Delaney; David G. Thompson; Qasim Aziz
10.1071/ch23010,Psilocin,5-HT2A,"A review of psilocybin: chemistry, clinical uses and future research directions",2023,Eliza Milliken; Peter Galettis; Jenny Martin
10.1071/ch23050,Ibogaine,NMDA receptor,Introduction to the chemistry and pharmacology of psychedelic drugs,2023,Scott R. Walker; Glenn A. Pullella; Matthew J. Piggott; Peter J. Duggan
10.1073/pnas.1121358109,Psilocybin,5-HT2A,Hallucinogen actions on human brain revealed,2012,Hyeong-Min Lee; Bryan L. Roth
10.1073/pnas.1323920111,Ketamine,NMDA receptor,Mechanisms underlying differential effectiveness of memantine and ketamine in rapid antidepressant responses,2014,Erinn S. Gideons; Ege T. Kavalali; Lisa M. Monteggia
10.1073/pnas.1816071116,Ketamine,NMDA receptor,"Antidepressant-relevant concentrations of the ketamine metabolite (2
            <i>R</i>
            ,6
            <i>R</i>
            )-hydroxynorketamine do not block NMDA receptor function",2019,Eric W. Lumsden; Timothy A. Troppoli; Scott J. Myers; Panos Zanos; Yasco Aracava; Jan Kehr; Jacqueline Lovett; Sukhan Kim; Fu-Hua Wang; Staffan Schmidt
10.1074/jbc.271.37.22591,LSD,5-HT2C,Functional Reconstitution   of 5-Hydroxytryptamine2c (5HT2c) Receptors with αq and Inverse Agonism of 5HT2c Receptor Antagonists,1996,John L. Hartman; John K. Northup
10.1074/jbc.M109.093658,MDMA,SERT (SLC6A4),"Transmembrane Domain 6 of the Human Serotonin Transporter Contributes to an Aqueously Accessible Binding Pocket for Serotonin and the Psychostimulant 3,4-Methylene Dioxymethamphetamine",2010,Julie R. Field; L. Keith Henry; Randy D. Blakely
10.1074/jbc.M110.111286,Ketamine,NMDA receptor,Pathologically Activated Neuroprotection via Uncompetitive Blockade of N-Methyl-d-aspartate Receptors with Fast Off-rate by Novel Multifunctional Dimer Bis(propyl)-cognitin,2010,Jialie Luo; Wenming Li; Yuming Zhao; Hongjun Fu; Dik-Lung Ma; Jing Tang; Chaoying Li; Robert W. Peoples; Fushun Li; Qinwen Wang
10.1074/jbc.M112.394726,MDMA,SERT (SLC6A4),Cyclic GMP-dependent Stimulation of Serotonin Transport Does Not Involve Direct Transporter Phosphorylation by cGMP-dependent Protein Kinase,2012,Albert Wong; Yuan-Wei Zhang; Grace R. Jeschke; Benjamin E. Turk; Gary Rudnick
10.1074/jbc.M609264200,Salvinorin A,kappa opioid receptor (OPRK1),Differential Helical Orientations among Related G Protein-coupled Receptors Provide a Novel Mechanism for Selectivity,2006,Timothy A. Vortherms; Philip D. Mosier; Richard B. Westkaemper; Bryan L. Roth
10.1074/jbc.m505055200,MDMA,SERT,Tyr-95 and Ile-172 in Transmembrane Segments 1 and 3 of Human Serotonin Transporters Interact to Establish High Affinity Recognition of Antidepressants,2005,L. Keith Henry; Julie R. Field; Erika M. Adkins; M. Laura Parnas; Roxanne A. Vaughan; Mu-Fa Zou; Amy H. Newman; Randy D. Blakely
10.1074/jbc.r600028200,MDA,,Functions of the Multifaceted Family of Sphingosine Kinases and Some Close Relatives*,2007,S. Spiegel; S. Milstien
10.1074/mcp.M113.036558,Psilocybin,5-HT2A,Quantitative Phosphoproteomics Unravels Biased Phosphorylation of Serotonin 2A Receptor at Ser280 by Hallucinogenic versus Nonhallucinogenic Agonists,2014,Samah Karaki; Carine Becamel; Samy Murat; Clotilde Mannoury la Cour; Mark J. Millan; Laurent Prézeau; Joël Bockaert; Philippe Marin; Franck Vandermoere
10.1080/09540261.2020.1854194,S-ketamine,NMDA receptor,Ketamine for depression,2021,Luke A. Jelen; James M. Stone
10.17615/wb9e-4z40,Salvinorin A,kappa opioid receptor (OPRK1),Michael acceptor approach to the design of new salvinorin A-based high affinity ligands for the kappa-opioid receptor,2020,Eyal Vardy; Bryan L. Roth; Philip D. Mosier; Prabhakar R. Polepally; Krzysztof Huben; Jordan K. Zjawiony; Vincent Setola
