# retry queue generated from paper library rows
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.1038/sj.npp.1300736,MDMA,SERT (SLC6A4),Quantitative PET Studies of the Serotonin Transporter in MDMA Users and Controls Using [11C]McN5652 and [11C]DASB,2005,Una D McCann; Zsolt Szabo; Esen Seckin; Peter Rosenblatt; William B Mathews; Hayden T Ravert; Robert F Dannals; George A Ricaurte
10.1038/sj.npp.1301324,Psilocybin,5-HT2A,The Effects of the Preferential 5-HT2A Agonist Psilocybin on Prepulse Inhibition of Startle in Healthy Human Volunteers Depend on Interstimulus Interval,2007,Franz X Vollenweider; Philipp A Csomor; Bernhard Knappe; Mark A Geyer; Boris B Quednow
10.1038/sj.npp.1301420,MDMA,SERT,Effects of Cocaine and MDMA Self-Administration on Serotonin Transporter Availability in Monkeys,2007,Matthew L Banks; Paul W Czoty; H Donald Gage; Michael C Bounds; Pradeep K Garg; Sudha Garg; Michael A Nader
10.1042/BJ20141321,DMT,Sigma-1 receptor (SIGMAR1),The sigma-1 receptors are present in monomeric and oligomeric forms in living cells in the presence and absence of ligands,2014,Ashish K. Mishra; Timur Mavlyutov; Deo R. Singh; Gabriel Biener; Jay Yang; Julie A. Oliver; Arnold Ruoho; Valerică Raicu
10.1071/ch23010,Psilocin,5-HT2A,"A review of psilocybin: chemistry, clinical uses and future research directions",2023,Eliza Milliken; Peter Galettis; Jenny Martin
10.1073/pnas.1323920111,Ketamine,NMDA receptor,Mechanisms underlying differential effectiveness of memantine and ketamine in rapid antidepressant responses,2014,Erinn S. Gideons; Ege T. Kavalali; Lisa M. Monteggia
10.1074/jbc.271.37.22591,LSD,5-HT2C,Functional Reconstitution   of 5-Hydroxytryptamine2c (5HT2c) Receptors with αq and Inverse Agonism of 5HT2c Receptor Antagonists,1996,John L. Hartman; John K. Northup
10.1074/jbc.M109.093658,MDMA,SERT (SLC6A4),"Transmembrane Domain 6 of the Human Serotonin Transporter Contributes to an Aqueously Accessible Binding Pocket for Serotonin and the Psychostimulant 3,4-Methylene Dioxymethamphetamine",2010,Julie R. Field; L. Keith Henry; Randy D. Blakely
10.1074/jbc.M112.394726,MDMA,SERT (SLC6A4),Cyclic GMP-dependent Stimulation of Serotonin Transport Does Not Involve Direct Transporter Phosphorylation by cGMP-dependent Protein Kinase,2012,Albert Wong; Yuan-Wei Zhang; Grace R. Jeschke; Benjamin E. Turk; Gary Rudnick
10.1074/jbc.m505055200,MDMA,SERT,Tyr-95 and Ile-172 in Transmembrane Segments 1 and 3 of Human Serotonin Transporters Interact to Establish High Affinity Recognition of Antidepressants,2005,L. Keith Henry; Julie R. Field; Erika M. Adkins; M. Laura Parnas; Roxanne A. Vaughan; Mu-Fa Zou; Amy H. Newman; Randy D. Blakely
