doi,author_position,display_name,author_id,identity_confidence,identity_review_id,previous_author_id
10.1016/j.jad.2026.121385,11,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5125683879
10.1016/j.jhazmat.2019.121577,1,Zhenglu Wang,orcid:0000-0002-6873-3732,orcid,author-review-20260906-019,orcid:0000-0002-3162-5068
10.1016/j.jpainsymman.2026.04.611,14,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5134725718
10.1016/j.jpsychires.2026.02.011,11,Joshua D. Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5125683879
10.1016/j.neubiorev.2026.106657,10,Leor Roseman,orcid:0000-0001-9990-6029,curated_openalex_to_orcid,,openalex:A5130392590
10.1016/j.neuroimage.2019.05.060,7,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-042,orcid:0000-0002-6423-9411
10.1016/j.neuropharm.2017.10.039,5,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-043,orcid:0000-0002-6423-9411
10.1016/j.neuropharm.2017.12.040,3,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-044,orcid:0000-0002-6423-9411
10.1016/j.neuropharm.2017.12.041,4,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-045,orcid:0000-0002-6423-9411
10.1016/j.neuropharm.2022.109294,5,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-046,orcid:0000-0002-6423-9411
10.1016/j.neuropsychologia.2016.04.005,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-047,orcid:0000-0002-6423-9411
10.1016/j.pnpbp.2019.01.002,6,Zihang Pan,openalex:A5110830165,openalex_author_id,author-review-20260906-016,orcid:0000-0003-4733-2523
10.1016/j.pnpbp.2025.111455,5,David Nutt,orcid:0000-0002-1286-1401,curated_openalex_to_orcid,,openalex:A5113982589
10.1016/j.psychres.2026.117152,7,Joshua D Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5132810846
10.1016/s2215-0366(26)00018-0,8,Joshua D Rosenblat,orcid:0000-0002-4773-2191,curated_openalex_to_orcid,,openalex:A5133707727
10.1017/neu.2019.15,5,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-048,orcid:0000-0002-6423-9411
10.1017/s0033291715002901,8,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-049,orcid:0000-0002-6423-9411
10.1017/s0033291722002963,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-050,orcid:0000-0002-6423-9411
10.1017/s0033291723001411,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-051,orcid:0000-0002-6423-9411
10.1017/s0033291723001514,9,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-052,orcid:0000-0002-6423-9411
10.1017/s1461145713001405,16,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-053,orcid:0000-0002-6423-9411
10.1021/acschemneuro.3c00289,5,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-054,orcid:0000-0002-6423-9411
10.1038/npp.2017.35,6,David Nutt,orcid:0000-0002-1286-1401,orcid,author-review-20260906-055,orcid:0000-0002-6423-9411
10.1038/s41386-019-0569-3,1,Friederike Holze,orcid:0000-0003-3143-1519,orcid,author-review-20260906-006,orcid:0000-0002-4582-6610
10.1038/s41386-026-02428-9,10,Matthias E Liechti,orcid:0000-0002-1765-9659,curated_openalex_to_orcid,,openalex:A5134869311
