pilot_record_id,dataset,bucket,study_doi,input_tier,access_level,expected_screening_relevance,route_hint,route_hint_confidence,route_hint_basis,study_title,study_year,authors,study_journal,publication_type,screening_record_count,source_type,source_path
pilot-026a8314628c0da3,mechanistic,full_text_relevant,10.31083/j.jin2105148,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,A Multidisciplinary Hypothesis about Serotonergic Psychedelics. Is it Possible that a Portion of Brain Serotonin Comes From the Gut?,2022,Noémi Császár-Nagy; Petr Bob; István Bókkon,Journal of Integrative Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0324a39a31dbe3cf,mechanistic,full_text_relevant,10.3389/fnhum.2016.00612,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine: 50 Years of Modulating the Mind,2016,Linda Li; Phillip E. Vlisides,Frontiers in Human Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0263cc2a005d11fd,mechanistic,full_text_relevant,10.3389/fnins.2021.698633,full_text,full_text_seen,relevant,likely_primary,low,abstract_primary,Plasma Levels of Brain-Derived Neurotrophic Factor and S100B in Relation to Antidepressant Response to Ketamine,2021,Haitang Jiang; Emma R. Veldman; Mikael Tiger; Carl-Johan Ekman; Johan Lundberg; Per Svenningsson,Frontiers in Neuroscience,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-04baf846c01a20e8,mechanistic,full_text_relevant,10.3389/fphar.2018.00374,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Ibogaine Acute Administration in Rats Promotes Wakefulness, Long-Lasting REM Sleep Suppression, and a Distinctive Motor Profile",2018,Joaquín González; José P. Prieto; Paola Rodríguez; Matías Cavelli; Luciana Benedetto; Alejandra Mondino; Mariana Pazos; Gustavo Seoane; Ignacio Carrera; Cecilia Scorza,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-026bdd7356b31deb,mechanistic,full_text_relevant,10.3389/fphar.2021.749068,full_text,full_text_seen,relevant,likely_secondary,low,abstract_secondary,Evaluating the Potential Use of Serotonergic Psychedelics in Autism Spectrum Disorder,2022,Athanasios Markopoulos; Antonio Inserra; Danilo De Gregorio; Gabriella Gobbi,Frontiers in Pharmacology,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-024d319511b72cf4,mechanistic,full_text_relevant,10.3390/ijms21207581,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Serotonin Transporter and Plasma Membrane Monoamine Transporter Are Necessary for the Antidepressant-Like Effects of Ketamine in Mice,2020,Melodi A. Bowman; Melissa Vitela; Kyra M. Clarke; Wouter Koek; Lynette C. Daws,International Journal of Molecular Sciences,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-02900ba25fd1fc66,mechanistic,full_text_relevant,10.3892/ol.2017.6806,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,Ketamine suppresses the proliferation of rat C6 glioma cells,2017,Hidetomo Niwa; Ken-Ichi Furukawa; Kazuhiko Seya; Kazuyoshi Hirota,Oncology Letters,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-0351d558081d660d,mechanistic,full_text_relevant,10.48091/gsr.v3i2.62,full_text,full_text_seen,relevant,unknown,low,publication_type_generic,"Psilocybin, Depression, and Synaptogenesis: Insights into the Field’s Past, Present, and Future",2023,Anna Douglas; Daniel Staas; Anna Hampton; Kylie Burns; Fenn Suter,Georgetown Scientific Research Journal,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/mechanistic_fulltext_packets.jsonl
pilot-21ca095b59c60a37,disorder,full_text_uncertain,10.1007/s40122-017-0090-5,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary | title_secondary,A Review of Current and Emerging Approaches to Pain Management in the Emergency Department.,2017,Todd KH,Pain and therapy,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-1839f8116a67ae2d,disorder,full_text_uncertain,10.1007/s42399-020-00275-3,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Sedation with ketamine and fentanyl combination improves patient outcomes in intensive care units,2020,Sarah Vitug; Vikas Ravi; Duraiyah Thangathurai,SN Comprehensive Clinical Medicine,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-2309cca05ca6d88f,disorder,full_text_uncertain,10.1016/j.curtheres.2021.100627,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,Intranasal Ketamine for Acute Pain: Behavioral and Neurophysiological Safety Analysis in Mice.,2021,Goswami N; Aleem M; Manda K,"Current therapeutic research, clinical and experimental",Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0ec18c580c7094f2,disorder,full_text_uncertain,10.1021/acsptsci.4c00133,full_text,full_text_seen,uncertain,likely_primary,low,abstract_primary,Nitric Oxide Donor Sodium Nitroprusside Reduces Racemic Ketamine─But Not Esketamine-Induced Pain Relief,2024,Albert Dahan; Simone Jansen; Rutger van der Schrier; Elise Sarton; David Dadiomov; Monique van Velzen; Erik Olofsen; Marieke Niesters,ACS Pharmacology & Translational Science,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-2232e922e91275ef,disorder,full_text_uncertain,10.1080/07853890.2025.2604409,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary | title_secondary,Efficacy of esketamine in reducing nausea and vomiting after anesthesia: a systematic review and meta-analysis of randomized controlled trials.,2026,Tang L; Qu S; Du Z; Zhu Y; Wu L; Wang J,Annals of medicine,Journal Article | Systematic Review | Meta-Analysis,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-23feacaa50a20e48,disorder,full_text_uncertain,10.1111/crj.70108,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,The Early Effects of Esketamine on the Tumor Metastatic Microenvironment in Postoperative Lung Cancer Patients,2025,Yong Wang; Weijing Li; Li Jia; Junmei Shen; Chao Li; Huiqun Jia,The Clinical Respiratory Journal,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-23267f6e52d941fb,disorder,full_text_uncertain,10.1177/2045125320967197,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary | title_secondary,New psychoactive substances: a review and updates.,2020,Shafi A; Berry AJ; Sumnall H; Wood DM; Tracy DK,Therapeutic advances in psychopharmacology,Journal Article | Review,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-1e5e35e9a5943ad0,disorder,full_text_uncertain,10.1192/bjo.2021.697,full_text,full_text_seen,uncertain,likely_secondary,medium,title_secondary,Placebo response in treatment resistant depression: a systematic review and meta-analysis of multiple treatment modalities,2021,Brett D M Jones; Cory R. Weissman; Jewel Karbi; Tya Vine; Louise S. Mulsant; Benoit Mulsant; Andre Brunoni; M. Ishrat Husain; Lais B. Razza; Daniel Blumberger,BJPsych Open,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-0bf77914496e100a,disorder,full_text_uncertain,10.1371/journal.pone.0306381,full_text,full_text_seen,uncertain,unknown,low,publication_type_generic,“This is you teaching you:” Exploring providers’ perspectives on experiential learning and enhancing patient safety and outcomes in ketamine-assisted therapy,2024,Elena Argento; Tashia Petker; Jayesh Vig; Cosette Robertson; Alexandria Jaeger; Candace Necyk; Paul Thielking; Zach Walsh,PLoS ONE,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-1154da1b551a1e7b,disorder,full_text_uncertain,10.1556/2054.2021.00157,full_text,full_text_seen,uncertain,likely_primary,low,abstract_primary,"Exploring the relationship between microdosing, personality and emotional insight: A prospective study",2021,Hannah M. Dressler; Stephen J. Bright; Vince Polito,Journal of Psychedelic Studies,journal-article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
pilot-1ae14bdc074f72ce,disorder,full_text_uncertain,10.1590/1806-9282.2023d696,full_text,full_text_seen,uncertain,likely_secondary,high,publication_type_secondary | title_secondary,The use of esketamine in the treatment of patients with oral antidepressant-resistant depression: systematic review and meta-analysis.,2023,Floriano I; Silvinato A; Bernardo WM,Revista da Associacao Medica Brasileira (1992),Meta-Analysis | Systematic Review | Journal Article,1,fulltext_packet,/Users/frank/Library/CloudStorage/Dropbox/projects/psychedelics_knowledge_graph/data/processed/extraction/disorder_fulltext_packets.jsonl
